#SVC model inputs for imdb_absa_classifier
#multi-class C:0.05
#binary C:1.8
id	class	binary_class	genre_Adventure	genre_Comedy	genre_Drama	genre_Fantasy	genre_Sci_Fi	mean_review_polarity	Action_very_negative	Action_negative	Action_neutral	Action_positive	Action_very_positive	Audience_very_negative	Audience_negative	Audience_neutral	Audience_positive	Audience_very_positive	Audio_very_negative	Audio_negative	Audio_neutral	Audio_positive	Audio_very_positive	Cast_very_negative	Cast_negative	Cast_neutral	Cast_positive	Cast_very_positive	Comparison_very_negative	Comparison_negative	Comparison_neutral	Comparison_positive	Comparison_very_positive	Direction_very_negative	Direction_negative	Direction_neutral	Direction_positive	Direction_very_positive	Effects_very_negative	Effects_negative	Effects_neutral	Effects_positive	Effects_very_positive	Emotion_very_negative	Emotion_negative	Emotion_neutral	Emotion_positive	Emotion_very_positive	General_very_negative	General_negative	General_neutral	General_positive	General_very_positive	Message_very_negative	Message_negative	Message_neutral	Message_positive	Message_very_positive	Other_very_negative	Other_negative	Other_neutral	Other_positive	Other_very_positive	Overall_very_negative	Overall_negative	Overall_neutral	Overall_positive	Overall_very_positive	Scene_very_negative	Scene_negative	Scene_neutral	Scene_positive	Scene_very_positive	Story_very_negative	Story_negative	Story_neutral	Story_positive	Story_very_positive	None_none	Action_mean	Audience_mean	Audio_mean	Cast_mean	Comparison_mean	Direction_mean	Effects_mean	Emotion_mean	General_mean	Message_mean	Other_mean	Overall_mean	Scene_mean	Story_mean	None_mean
1	1	0	-1	-1	1	-1	-1	0.27883	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0.0	0.2202	0.0	0.4939	0.0	0.0	0.0	0.0	0.46715	0.0	0.0	0.0	0.0	0.4939	0.10645
2	1	0	-1	-1	1	-1	-1	0.44756666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0.0	0.0	0.0	0.8225	0.0	0.0	0.0	0.4215	0.0	0.0	0.0	0.0	0.8225	0.0	0.32693333333333335
3	1	0	-1	-1	1	-1	-1	-0.03667906976744185	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	5	2	0	0	17	0.0	-0.2846	0.0	0.0593	0.0	-0.3861	0.0	0.1779	-0.3681	0.0	-0.4753	0.0	0.03160000000000002	0.1150857142857143	0.03171764705882351
4	1	0	-1	-1	1	-1	-1	0.09811818181818183	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0.0	0.0	0.6908	0.0	0.3612	0.7964	0.0	0.0	0.3982	0.0	0.0	0.0	0.0	-0.26335	-0.2597
5	1	0	-1	-1	1	-1	-1	-0.10185416666666662	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	4	-0.8655	0.0	-0.8655	0.07703333333333334	0.0	-0.6956	0.0	0.0	-0.06782857142857142	0.0	0.0	0.0	-0.8655	0.005099999999999993	0.211225
6	1	0	-1	-1	1	-1	-1	-0.06636999999999998	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	5	0.22215000000000001	-0.1759	0.0	-0.278175	0.0	0.0	-0.1759	-0.4203	0.0	0.0	0.0	0.0	0.0	-0.20829999999999999	0.18926
7	1	0	-1	-1	1	-1	-1	0.05664375000000001	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0.0	0.25515	-0.4019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06137692307692308
8	1	0	-1	-1	1	-1	-1	-0.1719095238095238	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	9	0.0	0.0	-0.49135	-0.18076666666666666	-0.5570999999999999	-0.5423	0.0	0.0	0.4201	0.0	-0.7096	0.0	-0.5423	-0.5423	0.10505555555555558
9	1	0	-1	-1	1	-1	-1	0.06306875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0.0	0.0	0.0	0.296	0.3461	-0.5574	0.0	0.296	0.26016666666666666	0.0	0.0	0.0	0.0	-0.5574	-0.15825
10	3	0	-1	-1	1	-1	-1	0.09104374999999998	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	14	-0.3612	-0.34	-0.5267	-0.11249999999999999	0.0	0.2482	0.19470000000000004	0.0	0.29245	0.0	0.0	0.0	0.45805	-0.4358666666666666	0.2508642857142857
11	1	0	-1	-1	1	-1	-1	0.04340000000000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0.0	0.0	0.0	0.714	0.0	0.0	0.0	0.4215	-0.4591833333333333	-0.128	-0.9269	0.0	0.714	0.476	0.5563
12	1	0	-1	-1	1	-1	-1	0.03921176470588234	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0.0	0.0	-0.1901	0.13795	0.5719	0.0	0.0	0.7845	0.13795	0.5574	0.0	0.0	0.0	-0.1901	-0.17552857142857142
13	1	0	-1	-1	1	-1	-1	-0.1213829787234042	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	3	0	0	0	16	-0.80505	0.0	0.0	0.6369	0.33908333333333335	-0.9118	0.0	0.0	-0.14718750000000003	0.0	0.0	0.0	-0.385125	-0.14975999999999998	-0.14923125000000004
14	1	0	-1	-1	1	-1	-1	-0.0029399999999999895	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	4	4	0	0	0	0	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	21	0.0	0.3612	0.2523	0.07561000000000001	0.14014000000000004	0.0	-0.5789	0.0	-0.09281111111111112	0.0	-0.296	0.0	-0.28945	0.24080000000000001	-0.0436952380952381
15	1	0	-1	-1	1	-1	-1	-0.27136470588235295	1	2	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	10	-0.7548666666666667	0.15299999999999994	0.0	0.0	0.0	-0.11050000000000001	-0.34	0.0	-0.6312599999999999	0.0	-0.5717800000000001	0.0	0.0	0.1663	-0.11772
16	1	0	-1	-1	1	-1	-1	0.27010322580645174	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	2	0	0	6	0.5499	0.3407	0.0	0.6814	0.5157	0.0	0.0	0.23205000000000003	0.21014545454545452	0.0	0.0	0.0	0.4199	0.2794666666666667	0.17873333333333333
17	1	0	-1	-1	1	-1	-1	0.08409999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4939	0.1173	0.0	0.0	0.0	-0.296	-0.4368	0.41755
18	1	0	-1	-1	1	-1	-1	-0.0025428571428571245	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	6	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0.0	0.7364	-0.296	0.03775000000000002	-0.04533333333333333	0.0	0.0	0.0	-0.17738749999999998	0.0	-0.05943333333333333	0.0	0.6969	-0.1191	0.2519
19	1	0	-1	-1	1	-1	-1	0.12847	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	9	0.03443333333333334	0.0	0.0	0.2337	0.8074	0.0	0.6249	0.4549200000000001	-0.04796666666666666	0.0	-0.22865000000000002	0.0	0.0	0.30885	-0.006933333333333335
20	1	0	-1	-1	1	-1	-1	-0.21915384615384617	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0.0	-0.30657500000000004	0.0	0.0	0.0	0.0	0.0	0.0	-0.5091	-0.4927	0.0	0.0	0.0	-0.3612	-0.004508333333333337
21	1	0	-1	-1	1	-1	-1	-0.07515000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0.0	0.0	-0.38270000000000004	0.60895	0.0	0.0	0.0	-0.161	0.0	-0.296	0.0	0.0	0.0	-0.02363333333333333
22	1	0	-1	-1	1	-1	-1	0.12573499999999999	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0.0	0.46592500000000003	0.0	0.765	0.3612	0.4404	0.765	0.4215	-0.7391	0.0	0.3272	0.0	0.0	0.765	-0.1628333333333333
23	1	0	-1	-1	1	-1	-1	0.04468333333333334	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.0	0.03250000000000001	0.0	-0.7003	0.5574	0.0	0.0	0.9136	0.04311666666666667	0.0	-0.1867	0.0	0.0	-0.2732	0.04209375000000001
24	1	0	-1	-1	1	-1	-1	0.43965714285714286	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0.0	0.5674666666666667	0.0	0.0	0.5762499999999999	0.0	0.0	0.0	0.0	0.0	-0.4592	0.0	0.0	0.65725	0.40750000000000003
25	1	0	-1	-1	1	-1	-1	-0.3418272727272727	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0.0	0.0	-0.5982	-0.5982	-0.3024	-0.5982	0.0	0.0	-0.412	0.0	-0.3024	0.0	0.0	-0.5982	0.6597
